name,origin price,add-on_price,sale price,url,sale
Book - Sherlock Holmes four investigations (TH),฿545.00,N/A,฿450.00,https://siamboardgames.com/product/book-sherlock-holmes-four-investigations/,True
[กล่องบุบ] Power Grid Recharged (TH) เกมโรงไฟฟ้า Recharged,"฿1,700.00",N/A,"฿1,530.00",https://siamboardgames.com/product/power-grid-recharged/,True
Tiny Epic c(TH) มหากาพย์กลยุทธ์ฉบับจิ๋ว,฿950.00,N/A,฿775.00,https://siamboardgames.com/product/tiny-epic-tactics/,True
Hedgehog Roll (TH) เม่นม้วนผจญภัย,฿950.00,N/A,฿780.00,https://siamboardgames.com/product/hedgehog-roll/,True
I'm the Boss (TH) อย่าซ่ากับบอส,"฿2,250.00","฿2,485.00",N/A,https://siamboardgames.com/product/im-the-boss/,False
Keyforge Worlds Collide - Decks (TH) คีย์ฟอร์จ โลกาประจัญศึก - เด็ค,฿330.00,N/A,฿59.00,https://siamboardgames.com/product/keyforge-worlds-collide-decks/,True
Keyforge Worlds Collide - Deluxe (TH) คีย์ฟอร์จ โลกาประจัญศึก - Deluxe,฿850.00,N/A,฿259.00,https://siamboardgames.com/product/keyforge-worlds-collide-deluxe/,True
[กล่องบุบ] Dobble (TH) ด็อบเบิล,฿550.00,N/A,฿495.00,https://siamboardgames.com/product/dobble/,True
Travel Tic Tac Toe - Connect 4 (TH) เกมแม่เหล็กทิค แทค โท,฿249.00,N/A,฿150.00,https://siamboardgames.com/product/travel-tic-tac-toe-connect-4/,True
Travel Tangram (TH) เกมแม่เหล็กแทนแกรม,฿249.00,N/A,฿150.00,https://siamboardgames.com/product/travel-tangram/,True
Travel Snakes (TH) เกมแม่เหล็กเกมบันไดงู,฿249.00,N/A,฿150.00,https://siamboardgames.com/product/travel-snakes/,True
Travel Secret Code (TH) เกมแม่เหล็กเกมรหัสลับ,฿249.00,N/A,฿150.00,https://siamboardgames.com/product/travel-secret-code/,True
Travel Chess (TH) เกมแม่เหล็กหมากรุกสากล,฿249.00,N/A,฿150.00,https://siamboardgames.com/product/travel-chess/,True
Travel Battle Fleet (TH) เกมแม่เหล็กกองเรือประจัญบาน,฿249.00,N/A,฿150.00,https://siamboardgames.com/product/travel-battle-fleet/,True
Zombie Kidz (TH) ขบวนการปราบซอมบี้,฿950.00,N/A,฿850.00,https://siamboardgames.com/product/zombie-kidz/,True
Little Town (TH) เมืองในฝัน,฿950.00,N/A,฿790.00,https://siamboardgames.com/product/little-town/,True
Wallet (TH) เกมล่าตัวตนจารชนคนพันหน้า,฿950.00,N/A,฿750.00,https://siamboardgames.com/product/wallet/,True
Dead of Winter (TH) เหมันต์มรณะ,"฿1,950.00",N/A,N/A,https://siamboardgames.com/product/dead-of-winter/,False
Wingspan (TH) ปีกปักษา,"฿1,900.00",N/A,N/A,https://siamboardgames.com/product/wingspan/,False
Winston (TH) วินสตัน,฿450.00,N/A,฿379.00,https://siamboardgames.com/product/winston/,True
Kariba (TH) คาริบา,฿450.00,N/A,฿379.00,https://siamboardgames.com/product/kariba/,True
Forest (TH) ฟอเรสต์,฿450.00,N/A,฿379.00,https://siamboardgames.com/product/forest/,True
Salem 1692 (TH) ซาเลม 1692,฿950.00,"฿1,070.00",N/A,https://siamboardgames.com/product/salem-1692/,False
Rory's Story Cubes (TH) ลูกเต๋าเล่านิทาน,฿450.00,N/A,฿380.00,https://siamboardgames.com/product/rorys-story-cubes/,True
Keyforge Age of Ascension - 2P Starter (TH) คีย์ฟอร์จยุคเรืองอำนาจ - ชุดเริ่มเล่น 2P,฿950.00,N/A,฿169.00,https://siamboardgames.com/product/keyforge-age-of-ascension-2p-starter/,True
Keyforge Age of Ascension - Decks (TH) คีย์ฟอร์จยุคเรืองอำนาจ - เด็ค,฿330.00,N/A,฿59.00,https://siamboardgames.com/product/keyforge-age-of-ascension-decks/,True
TM Venus Next (TH) ปฎิบัติการดาวศุกร์,฿950.00,N/A,฿785.00,https://siamboardgames.com/product/tm-venus-next/,True
TM Prelude (TH) ปฐมบท,฿650.00,N/A,฿535.00,https://siamboardgames.com/product/tm-prelude/,True
TM Hellas & Elysium (TH) เฮลลาส & เอลิเซียม,฿650.00,N/A,฿555.00,https://siamboardgames.com/product/tm-hellas-elysium/,True
TM Colonies (TH) อาณานิคม,฿950.00,N/A,฿785.00,https://siamboardgames.com/product/tm-colonies/,True
Slide Quest (TH) อัศวินลมกรด,฿950.00,N/A,฿699.00,https://siamboardgames.com/product/slide-quest/,True
Pengoloo (TH) เพนกวินหวงไข่,฿950.00,N/A,N/A,https://siamboardgames.com/product/pengoloo/,False
[กล่องบุบ] 7 Wonders duel (TH) 7 สิ่งมหัศจรรย์ ดวล,฿950.00,N/A,N/A,https://siamboardgames.com/product/7-wonders-duel/,False
Game of Throne (TH) เกมล่าบัลลังก์,"฿1,950.00",N/A,N/A,https://siamboardgames.com/product/game-of-throne/,False
Colt Express (TH) ขุมทรัพย์ม้าเหล็ก,"฿1,450.00",N/A,"฿1,199.00",https://siamboardgames.com/product/colt-express/,True
8 BIT BOX (TH) 8 บิทบ๊อกซ์,"฿1,350.00",N/A,฿830.00,https://siamboardgames.com/product/8-bit-box/,True
For Sale (TH) บ้านนี้ขาย!,฿990.00,N/A,฿815.00,https://siamboardgames.com/product/for-sale/,True
Incan Gold (TH) ล่าสมบัติอินคา,฿950.00,N/A,฿827.00,https://siamboardgames.com/product/incan-gold/,True
Exploding Kitten (TH) เหมียวระเบิด,฿950.00,"฿1,060.00",N/A,https://siamboardgames.com/product/exploding-kitten/,False
Chinatown (TH) ไชน่าทาวน์,"฿1,450.00",N/A,N/A,https://siamboardgames.com/product/chinatown/,False
Down Force (TH) นักซิ่งสายฟ้า,"฿1,065.00","฿1,195.00",N/A,https://siamboardgames.com/product/down-force/,False
[กล่องบุบ] Get Packing (TH),฿950.00,N/A,N/A,https://siamboardgames.com/product/get-packing/,False
Fearsome Floor (TH) เกมหนีผี! โถงมรณะ,"฿1,350.00",N/A,N/A,https://siamboardgames.com/product/fearsome-floor/,False
Dream On (TH) ทีมสร้างฝัน,฿700.00,N/A,N/A,https://siamboardgames.com/product/dream-on/,False
When I Dream (TH) นักท่องฝัน,"฿1,400.00",N/A,N/A,https://siamboardgames.com/product/when-i-dream/,False
7 Wonders (TH) 7 สิ่งมหัศจรรย์,"฿1,800.00",N/A,N/A,https://siamboardgames.com/product/7-wonders/,False
Pandemic (TH) เกมโรคระบาด,"฿1,500.00",N/A,"฿1,225.00",https://siamboardgames.com/product/pandemic/,True
King of Tokyo (TH) ราชันแห่งโตเกียว,"฿1,450.00",N/A,N/A,https://siamboardgames.com/product/king-of-tokyo/,False
Citadels Classic(TH) ศึกสร้างเมือง,฿550.00,N/A,N/A,https://siamboardgames.com/product/citadels-classicth/,False
Coup (TH) เกมโค่นอำนาจ,฿720.00,฿895.00,N/A,https://siamboardgames.com/product/coup/,False
Bloodbound (TH) สงครามแวมไพร์,฿800.00,N/A,N/A,https://siamboardgames.com/product/bloodbound/,False
Photosynthesis (TH) เกมสังเคราะห์แสง,"฿1,650.00",N/A,N/A,https://siamboardgames.com/product/photosynthesis/,False
Sheriff of Nottingham (TH) ผู้ตรวจการแห่งเมืองนอตติงแฮม,"฿1,450.00",N/A,N/A,https://siamboardgames.com/product/sheriff-of-nottingham/,False
Ultimate Werewolf Deluxe (TH) เกมล่าปริศนามนุษย์หมาป่า,฿850.00,฿960.00,N/A,https://siamboardgames.com/product/ultimate-werewolf-deluxe/,False
One Night Ultimate Werewolf (TH) หนึ่งคืนปริศนาเกมล่ามนุษย์หมาป่า,฿850.00,฿925.00,N/A,https://siamboardgames.com/product/one-night-ultimate-werewolf/,False
Ticket to Ride (TH) เกมต่อรถไฟ,"฿1,850.00",N/A,N/A,https://siamboardgames.com/product/ticket-to-ride/,False
Small World (TH) โลกใหญ่ใบเล็ก,"฿1,850.00",N/A,N/A,https://siamboardgames.com/product/small-world/,False
Hand of the King (TH) หัตถ์ราชา,฿550.00,N/A,N/A,https://siamboardgames.com/product/hand-of-the-king/,False
Love Letter (TH) เกมจดหมายรัก,฿550.00,N/A,฿450.00,https://siamboardgames.com/product/love-letter/,True
Power Grid (TH) เกมโรงไฟฟ้า,"฿1,700.00",N/A,N/A,https://siamboardgames.com/product/power-grid/,False
Jaipur (TH) ชัยปุระ,฿850.00,N/A,N/A,https://siamboardgames.com/product/jaipur/,False
Splendor (TH) เกมค้าเพชร,"฿1,500.00",N/A,"฿1,260.00",https://siamboardgames.com/product/splendor/,True
